SPECIES,COMMONNAME
Carex setacea,Fox Sedge
Carex simulata,Analogue Sedge
Carex specuicola,Navajo Sedge
Carex spissa var. ultra,Cochise Sedge
Carex stipata,Stalk-grain Sedge
Carex tenella,Soft-leaf Sedge
Carex tetanica var. meadii,Mead Sedge
Carex tribuloides var. bebbii,Bebb's Sedge
Carex ultra,Cochise Sedge
Carex utriculata,Northwest Territory Sedge
Carex vesicaria,Blister Sedge
Carex vitrea,Sturdy Sedge
Carex vulgaris var. lipocarpa,Kellogg Sedge
Carex vulpinoidea,Fox Sedge
Carex vulpinoidea var. microsperma,Fox Sedge
Carex vulpinoidea var. pycnocephala,Fox Sedge
Carex vulpinoidea var. scabrior,Fox Sedge
Carex vulpinoidea var. segregata,Fox Sedge
Carex vulpinoidea var. setacea,Fox Sedge
Carlowrightia,
Carlowrightia arizonica,Arizona wrightwort
Carpodacus cassinii,Cassin's Finch
Carpodacus mexicanus,House Finch
Carpodacus purpureus,Purple Finch
Caryophyllaceae,pink family
Casmerodius albus,Great Egret
Cassia armata,Desert Cassia
Cassia bauhinioides,Twinleaf Senna
Cassia bauhinioides var. arizonica,Twinleaf Senna
Castela,
Castela emoryi,Crucifixion Thorn
Castilleja,indian paintbrush
Castilleja cruenta,Trans-pecos Indian-paintbrush
Castilleja integra,Wholeleaf Indian-paintbrush
Castilleja kaibabensis,Kaibab Indian Paintbrush
Castilleja lanata,White-woolly Indian-paintbrush
Castilleja miniata,Greater Red Indian-paintbrush
Castilleja minor,Alkali Indian Paintbrush
Castilleja minor ssp. spiralis,California Indian Paintbrush
Castilleja mogollonica,White Mountains Paintbrush
Castilleja nervata,Trans-pecos Indian-paintbrush
Castilleja patriotica,Huachuca Mountain Indian Paintbrush
Castilleja stenantha,California Indian Paintbrush
Castilleja sulphurea,White Mountains Paintbrush
Castor,
Castor canadensis,American Beaver
Castoridae,
Catabrosa,
Catabrosa aquatica,Water Whorlgrass
Catabrosa aquatica ssp. pseudairoides,Water Whorlgrass
Catabrosa aquatica var. uniflora,Water Whorlgrass
Catapodium aquaticum,Water Whorlgrass
Cathartes,
Cathartes aura,Turkey Vulture
Cathartidae,New World vultures
Cathartolinum australe,Southern Flax
Catharus,
Catharus fuscescens,Veery
Catharus guttatus,Hermit Thrush
Catharus minimus,Gray-cheeked Thrush
Catharus ustulatus,Swainson's Thrush
Catherpes,
Catherpes mexicanus,Canyon Wren
Cathestecum,
Cathestecum erectum,False Grama
Catinella,
Catinella avara,Suboval Ambersnail
Catinella vermeta,Suboval Ambersnail
Catocala,
Catocala aholibah,An Underwing Moth
Catocala amatrix,The Sweetheart Underwing
Catocala benjamini,Benjamin's Underwing
Catocala caesia,An Underwing Moth
Catocala chelidonia,An Underwing Moth
Catocala desdemona,An Underwing Moth
Catocala electilis,An Underwing Moth
Catocala frederici,An Underwing Moth
Catocala grotiana,Grote's Underwing
Catocala hermia,An Underwing Moth
Catocala ilia,Ilia Underwing
Catocala jessica,Jessica Underwing
Catocala junctura,Joined Underwing
Catocala neogama,The Bride
Catocala ophelia,An Underwing Moth
Catocala piatrix,The Penitent
Catocala relicta,White Underwing
Catocala semirelicta,Semirelict Underwing
Catocala verrilliana,An Underwing Moth
Catocala violenta,An Underwing Moth
Catoptrophorus semipalmatus,Willet
Catostomidae,suckers
Catostomus,
Catostomus ardens,Utah Sucker
Catostomus bernardini,Yaqui Sucker
Catostomus clarki,Desert Sucker
Catostomus clarkii,Desert Sucker
Catostomus discobolus,Bluehead Sucker
Catostomus discobolus discobolus,Bluehead Sucker
Catostomus discobolus jarrovii,Zuni Bluehead Sucker
Catostomus discobolus yarrowi,Zuni Bluehead Sucker
Catostomus insignis,Sonora Sucker
Catostomus latipinnis,Flannelmouth Sucker
Catostomus plebeius,Rio Grande Sucker
Catostomus sp. 3,Little Colorado Sucker
Caudisona mitchellii,Speckled Rattlesnake
Caudisona molossus,Black-tailed Rattlesnake
Caulanthus,
Caulanthus crassicaulis,Thickstem Wild Cabbage
Celaenorrhinus,
Celaenorrhinus fritzgaertneri,Fritzgaertner's Flat
Celastraceae,bittersweet family
Celastrina,
Celastrina echo,Western Azure
Celastrina echo cinerea,Southwestern Azure
Celotes,
Celotes nessus,Streaky Skipper
Cenchrus ciliaris,Buffelgrass
Cenchrus setaceus,Crimson Fountain Grass
Centaurea,knapweed
Centaurea americana,Star Thistle
Centaurea biebersteinii,Spotted Knapweed
Centaurea calcitrapa,Big-head Purple Starthistle
Centaurea diffusa,Diffuse Knapweed
Centaurea maculosa,Spotted Knapweed
Centaurea melitensis,Maltese Star-thistle
Centaurea repens,Russian Knapweed
Centaurea rothrockii,Knap Thistle
Centaurea solstitialis,Yellow Star-thistle
Centaurea stoebe,Spotted Knapweed
Centaurea stoebe ssp. micranthos,Spotted Knapweed
Centrarchidae,sunfishes and freshwater basses
Centrocercus,
Centrocercus minimus,Gunnison Sage-grouse
Centrocercus urophasianus,Greater Sage-grouse
Centronyx,
Centronyx bairdii,Baird's Sparrow
Centroptilum,
Centroptilum conturbatum,A Mayfly
Cephalanthus,buttonbush
Cephalanthus berlandieri,Common Buttonbush
Cephalanthus occidentalis,Common Buttonbush
Cephalanthus occidentalis var. californicus,Common Buttonbush
Cephalanthus occidentalis var. pubescens,Common Buttonbush
Ceratomia,
Ceratomia amyntor,Elm Sphinx
Ceratomia sonorensis,A Sphinx Moth
Ceratophyllaceae,
Ceratophyllum,hornwort
Ceratophyllum apiculatum,Coon's-tail
Ceratophyllum demersum,Coon's-tail
Ceratophyllum demersum var. apiculatum,Coon's-tail
Cercyonis,
Cercyonis meadii,Mead's Wood Nymph
Cercyonis meadii alamosa,Alamosa Satyr
Cercyonis oetus,Dark Wood Nymph
Cercyonis pegala,Common Wood Nymph
Cercyonis sthenele,Great Basin Wood Nymph
Cereus diguetii,Dahlia Rooted Cereus
Cereus fendleri,Fendler Hedgehog-cactus
Cereus greggii,Night-blooming Cereus
Cereus greggii var. transmontanus,Desert Night-blooming Cereus
Cereus pectinatus var. rigidissimus,Arizona Rainbow Cactus
Cereus striatus,Dahlia Rooted Cereus
Cereus thurberi,Organ Pipe Cactus
Certhia,
Certhia americana,Brown Creeper
Certhiidae,
Cervidae,
Cervus,
Cervus canadensis,Wapiti or Elk
Cervus canadensis merriami,Merriam's Elk
Cervus canadensis nelsoni,Rocky Mountain Elk
Cervus elaphus,Wapiti or Elk
Cervus elaphus merriami,Merriam's Elk
Cervus elaphus nelsoni,Rocky Mountain Elk
Ceryle alcyon,Belted Kingfisher
Chaenactis,pincushion
Chaenactis carphoclinia,Straw-bed Pincushion
Chaenaxis,
Chaenaxis tuba,Hollow Tuba
Chaetocalyx wislizeni,Arizona Nissolia
Chaetodipus,
Chaetodipus baileyi,Bailey's Pocket Mouse
Chaetodipus formosus,Long-tailed Pocket Mouse
Chaetodipus hispidus,Hispid Pocket Mouse
Chaetodipus intermedius,Rock Pocket Mouse
Chaetodipus intermedius intermedius,Rock Pocket Mouse
Chaetodipus intermedius nigrimontis,Rock Pocket Mouse
Chaetodipus penicillatus,Sonoran Desert Pocket Mouse
Chaetodipus spinatus,Spiny Pocket Mouse
Chaetura,
Chaetura pelagica,Chimney Swift
Chaetura vauxi,Vaux's Swift
Chalcides,
Chalcides ocellatus,Ocellated Skink
Chamaesyce gracillima,Mexican Broomspurge
Chamaesyce platysperma,Dune Spurge
Chaptalia seemannii,Woodland Sunbonnets
Characidae,characins
Charadriidae,
Charadrius,
Charadrius alexandrinus,Snowy Plover
Charadrius alexandrinus nivosus,Snowy Plover
Charadrius mongolus,Lesser Sand-Plover
Charadrius montanus,Mountain Plover
Charadrius nivosus,Snowy Plover
Charadrius nivosus nivosus,Snowy Plover
Charadrius semipalmatus,Semipalmated Plover
Charadrius vociferus,Killdeer
Charina trivirgata,Rosy Boa
Charopidae,
Cheilanthes,lipfern
Cheilanthes arizonica,Arizona Lip Fern
Cheilanthes pringlei,Pringle's Lip Fern
Cheilanthes yavapensis,Graceful Lip Fern
Chelydra,
Chelydra serpentina,Snapping Turtle
Chelydridae,
Chen caerulescens,Snow Goose
Chen rossii,Ross's Goose
Chenopodiaceae,goosefoot family
Chernetidae,
Cheumatopsyche,
Cheumatopsyche arizonensis,A Caddisfly
Cheumatopsyche campyla,A Caddisfly
Cheumatopsyche enonis,A Caddisfly
Cheumatopsyche gelita,A Caddisfly
Cheumatopsyche lasia,A Caddisfly
Cheumatopsyche pinula,A Caddisfly
Chilomeniscus,
Chilomeniscus stramineus,Variable Sandsnake
Chimaphila,prince's pine
Chimaphila maculata,Spotted Wintergreen
Chimarra,
Chimarra adella,A Caddisfly
Chimarra angustipennis,A Caddisfly
Chimarra primula,A Caddisfly
Chimarra ridleyi,A Caddisfly
Chimarra schiza,A Caddisfly
Chimarra texana,A Caddisfly
Chimarra utahensis,A Caddisfly
Chioides,
Chioides albofasciatus,White-striped Longtail
Chioides zilpa,Zilpa Longtail
Chiomara,
Chiomara georgina,White-patched Skipper
Chiomara mithrax,Mithrax duskywing
Chionactis,
Chionactis annulata,Resplendent Shovel-nosed Snake
Chionactis annulata annulata,Resplendent Shovel-nosed Snake
Chionactis annulata klauberi,Resplendent Shovel-nosed Snake
Chionactis occipitalis,Western Shovel-nosed Snake
Chionactis occipitalis annulata,Resplendent Shovel-nosed Snake
Chionactis occipitalis klauberi,Resplendent Shovel-nosed Snake
Chionactis occipitalis occipitalis,Resplendent Shovel-nosed Snake
Chionactis palarostris,Sonoran Shovel-nosed Snake
Chionactis palarostris organica,Organ Pipe Shovel-nosed Snake
Chionactis saxatilis,Resplendent Shovel-nosed Snake
Chirocephalidae,
Chitrellina,
Chitrellina chiricahuae,A Cave Obligate Pseudoscorpion
Chlidonias,
Chlidonias niger,Black Tern
Chlora exaltata,Catchfly Prairie-gentian
Chloroceryle,
Chloroceryle americana,Green Kingfisher
Chlorochroa,
Chlorochroa rita,Santa Rita Mountains Chlorochroan Bug
Chlorocyperus inflexus,Awned Flat Sedge
Chlorocyperus rivularis,Shining Flatsedge
Chloroperlidae,
Chloropyron maritimum,Saltmarsh Bird's-beak
Chlorostrymon,
Chlorostrymon simaethis,Simaethis Hairstreak
Chlosyne,
Chlosyne acastus,Sagebrush Checkerspot
Chlosyne acastus neumoegeni,Sagebrush Checkerspot
Chlosyne californica,California Patch
Chlosyne cyneas,Cyneas Checkerspot
Chlosyne definita,Definite Patch
Chlosyne fulvia,Fulvia Checkerspot
Chlosyne lacinia,Bordered Patch
Chlosyne leanira,Leanira Checkerspot
Chlosyne nycteis,Silvery Checkerspot
Chlosyne rosita,Rosita Patch
Chlosyne theona,Theona Checkerspot
Choeronycteris,
Choeronycteris mexicana,Mexican Long-tongued Bat
Choisya,
Choisya arizonica,Arizona Star Leaf
Choisya arizonica var. amplophylla,A Arizona-Mexican Orange
Choisya arizonica var. arizonica,Arizona Star Leaf
Choisya dumosa,Mexican Orange
Choisya dumosa var. arizonica,Arizona Star Leaf
Choisya dumosa var. mollis,Santa Cruz Star Leaf
Choisya mollis,Santa Cruz Star Leaf
Chondestes,
Chondestes grammacus,Lark Sparrow
Chondrilla,
Chondrilla juncea,Rush Skeletonweed
Chordeiles,
Chordeiles acutipennis,Lesser Nighthawk
Chordeiles minor,Common Nighthawk
Chroicocephalus,
Chroicocephalus philadelphia,Bonaparte's Gull
Chromolaena,
Chromolaena bigelovii,Bigelow's False Thoroughwort
Chrysemys,
Chrysemys picta,Painted Turtle
Chrysemys picta bellii,Western Painted Turtle
Chrysothamnus,rabbitbrush
Chrysothamnus axillaris,Low Rabbitbrush
Chrysothamnus linifolius,Linearleaf Rabbitbrush
Chrysothamnus molestus,Tusayan Rabbitbrush
Chrysothamnus nauseosus,Rubber Rabbitbrush
Chrysothamnus nauseosus ssp. consimilis,Great Basin Rabbitbrush
Chrysothamnus nauseosus ssp. mohavensis,Mohave Rabbitbrush
Chrysothamnus nauseosus ssp. nauseosus,Rubber Rabbitbrush
Chrysothamnus nauseosus ssp. pinifolius,Great Basin Rabbitbrush
Chrysothamnus nauseosus var. artus,Great Basin Rabbitbrush
Chrysothamnus nauseosus var. consimilis,Great Basin Rabbitbrush
Chrysothamnus nauseosus var. mohavensis,Mohave Rabbitbrush
Chrysothamnus nauseosus var. oreophilus,Great Basin Rabbitbrush
Chrysothamnus parryi,Parry Rabbitbush
Chrysothamnus parryi ssp. howardii,Howard Rabbitbrush
Chrysothamnus stylosus,Pillar False Gumweed
Chrysothamnus teretifolius,Roundleaf Rabbitbrush
Chrysothamnus viscidiflorus,Yellow Rabbitbrush
Chrysothamnus viscidiflorus ssp. axillaris,Low Rabbitbrush
Chrysothamnus viscidiflorus ssp. elegans,Lanceleaf Low Rabbitbrush
Chrysothamnus viscidiflorus ssp. lanceolatus,Lanceleaf Low Rabbitbrush
Chrysothamnus viscidiflorus ssp. latifolius,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus ssp. planifolius,Flatleaf Low Rabbitbrush
Chrysothamnus viscidiflorus ssp. puberulus,Hoary Low Rabbitbrush
Chrysothamnus viscidiflorus ssp. pumilus,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus ssp. stenophyllus,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus ssp. typicus,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus ssp. viscidiflorus,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus ssp. viscidiflorus var. latifolius,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus ssp. viscidiflorus var. stenophyllus,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus ssp. viscidiflorus var. viscidiflorus,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus var. elegans,Lanceleaf Low Rabbitbrush
Chrysothamnus viscidiflorus var. lanceolatus,Lanceleaf Low Rabbitbrush
Chrysothamnus viscidiflorus var. latifolius,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus var. puberulus,Hoary Low Rabbitbrush
Chrysothamnus viscidiflorus var. pumilus,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus var. stenophyllus,Douglas' Rabbitbrush
Chrysothamnus viscidiflorus var. viscidiflorus,Douglas' Rabbitbrush
Chrysothmanus viscidiflorus var. typicus,Douglas' Rabbitbrush
Chylismia brevipes,Golden Suncup
Chylismia brevipes ssp. arizonica,Golden Suncup
Chylismia brevipes ssp. brevipes,Golden Suncup
Chylismia brevipes ssp. pallidula,Pallid Suncup
Chylismia confertiflora,Grand Canyon Suncup
Chylismia eastwoodiae,Grand Junction Suncup
Chylismia exilis,Cottonwood Springs suncup
Chylismia multijuga,Froststem Suncup
Chylismia parryi,Redclay Suncup
Chylismia specicola,Kaibab Suncup
Chylismia specicola ssp. hesperia,Kaibab Suncup
Chylismia specicola ssp. specicola,Kaibab Suncup
Cichlasoma,
Cichlasoma nigrofasciatum,Convict Cichlid
Cichlidae,cichlids
Cicindela,
Cicindela debilis,Grass-runner Tiger Beetle
Cicindela fera,Red-lined Tiger Beetle
Cicindela fulgida,Crimson Saltflat Tiger Beetle
Cicindela fulgida pseudowillistoni,Alkaline tiger beetle
Cicindela fulgoris,Glittering Tiger Beetle
Cicindela fulgoris erronea,Willcox Tiger Beetle
Cicindela fulgoris fulgoris,Glittering Tiger Beetle
Cicindela haemorrhagica,Wetsalts Tiger Beetle
Cicindela haemorrhagica arizonae,Grand Canyon Tiger Beetle
Cicindela haemorrhagica haemorrhagica,Wetsalts Tiger Beetle
Cicindela haemorrhagica woodgatei,Woodgate's Tiger Beetle
Cicindela hirticollis,Hairy-necked Tiger Beetle
Cicindela hirticollis coloradula,Colorado River Tiger Beetle
Cicindela hirticollis corpuscula,Hairy-necked Tiger Beetle
Cicindela hornii,Horn's Tiger Beetle
Cicindela lengi,Blowout Tiger Beetle
Cicindela lengi jordai,Jorda's Tiger Beetle
Cicindela lepida,Ghost Tiger Beetle
Cicindela longilabris,Boreal Long-lipped Tiger Beetle
Cicindela longilabris laurentii,Laurent's Long-lipped Tiger Beetle
Cicindela marutha,Aridland Tiger Beetle
Cicindela nevadica,Nevada Tiger Beetle
Cicindela nevadica citata,Chiricahua Tiger Beetle
Cicindela nevadica tubensis,Tuba Tiger Beetle
Cicindela nigrocoerulea,Black Sky Tiger Beetle
Cicindela nigrocoerulea nigrocoerulea,Black Sky Tiger Beetle
Cicindela obsoleta,Large Grassland Tiger Beetle
Cicindela obsoleta santaclarae,Santa Clara Grassland Tiger Beetle
Cicindela ocellata,Ocellated Tiger Beetle
Cicindela ocellata ocellata,Ocellated Tiger Beetle
Cicindela oregona,Western Tiger Beetle
Cicindela oregona maricopa,Maricopa Tiger Beetle
Cicindela oregona navajoensis,Navajo Tiger Beetle
Cicindela pimeriana,Cochise Tiger Beetle
Cicindela praetextata,Riparian Tiger Beetle
Cicindela praetextata praetextata,Riparian Tiger Beetle
Cicindela pulchra,Beautiful Tiger Beetle
Cicindela pulchra dorothea,Dorothy's Tiger Beetle
Cicindela pulchra pulchra,Beautiful Tiger Beetle
Cicindela punctulata,Punctured Tiger Beetle
Cicindela punctulata chihuahuae,Chihuahua Tiger Beetle
Cicindela purpurea,Cow Path Tiger Beetle
Cicindela purpurea audubonii,Audubon's Tiger Beetle
Cicindela purpurea cimarrona,Cimarron Tiger Beetle
Cicindela repanda,Bronzed Tiger Beetle
Cicindela repanda repanda,Bronzed Tiger Beetle
Cicindela sedecimpunctata,Western Red-bellied Tiger Beetle
Cicindela sp. 1,A Tiger Beetle
Cicindela sperata,Rio Grande Tiger Beetle
Cicindela sperata sperata,Rio Grande Tiger Beetle
Cicindela tenuisignata,Thin-lined Tiger Beetle
Cicindela terricola,Variable Tiger Beetle
Cicindela terricola cinctipennis,Variable Tiger Beetle
Cicindela terricola imperfecta,Imperfect Tiger Beetle
Cicindela terricola kaibabensis,Kaibab Tiger Beetle
Cicindela tranquebarica,Oblique-lined Tiger Beetle
Cicindela tranquebarica cibecuei,Cibeque Tiger Beetle
Cicindela tranquebarica diffracta,Diffracted Tiger Beetle
Cicindela tranquebarica lassenica,Cibeque Tiger Beetle
Cicindela trifasciata,S-banded Tiger Beetle
Cicindela trifasciata sigmoidea,S-banded Tiger Beetle
Cicindela viridisticta,Pygmy Tiger Beetle
Cicindela wickhami,Sonoran Tiger Beetle
Cicindela willistoni,Willston's Tiger Beetle
Cicindela willistoni hirtifrons,Hairy-fronted Tiger Beetle
Cicindela willistoni sulfontis,Sulphur Valley Tiger Beetle
Cicindelidia,
Cicindelidia melissa,Melissa's Tiger Beetle
Ciconiidae,
Cicuta,water-hemlock
Cicuta maculata,Spotted Water-hemlock
Cimicifuga arizonica,Arizona Bugbane
Cinclidae,
Cinclus,
Cinclus mexicanus,American Dipper
Cionella lubrica,Glossy Pillar
Cionellidae,
Cipangopaludina,
Cipangopaludina chinensis,Chinese Mysterysnail
Circus,
Circus cyaneus,Northern Harrier
Circus hudsonius,Northern Harrier
Cirsium,thistle
Cirsium arizonicum,Arizona Thistle
Cirsium arizonicum var. chellyense,Navajo Thistle
Cirsium arvense,Canada Thistle
Cirsium chellyense,Navajo Thistle
Cirsium gilense,Parry Thistle
Cirsium inornatum,Parry Thistle
Cirsium mohavense,Mohave Thistle
Cirsium pallidum,Parry Thistle
Cirsium parryi,Parry Thistle
Cirsium parryi ssp. mogollonicum,Parry Thistle
Cirsium rusbyi,Mohave Thistle
Cirsium rydbergii,Rydbergs' Thistle
Cirsium virginense,Mohave Thistle
Cirsium vulgare,Bull Thistle
Cirsium wheeleri,Wheeler's Thistle
Cirsium wrightii,Wright's marsh thistle
Cisthene,
Cisthene coronado,
Cistothorus,
Cistothorus palustris,Marsh Wren
Cistothorus platensis,Sedge Wren
Claassenia,
Claassenia sabulosa,Shortwing Stone
Cladium,sawgrass
Cladium californicum,California Sawgrass
Cladium mariscus var. californicum,California Sawgrass
Cladorhiza maculata,Spotted Coralroot
Clangula,
Clangula hyemalis,Long-tailed Duck
Clarias,
Clarias batrachus,Walking Catfish
Clariidae,airbreathing or labyrinth catfishes
Clematis,leather flower
Clematis hirsutissima,Clustered Leather Flower
Clematis hirsutissima var. arizonica,Clustered Leather Flower
Clematis palmeri,Palmer Leather Flower
Clematodes,
Clematodes vanduzeei,A Grasshopper
Cleome,spiderflower
Cleome multicaulis,Slender Spiderflower
Cleomella,
Cleomella montrosae,Rocky Mountain Rhombopod
Cleomella nana,Rocky Mountain Rhombopod
Cleomella palmeriana,Rocky Mountain Rhombopod
Cleridae,Checkered Beetles
Clethrionomys gapperi,Southern Red-backed Vole
Clistoronia,
Clistoronia formosa,A Caddisfly
Clistoronia maculata,A Caddisfly
Cloeodes,
Cloeodes excogitatus,A Mayfly
Cloeodes macrolamellus,A Mayfly
Cloeodes peninsulus,A Mayfly
Clupeidae,"herrings, shads, sardines and allies"
Clusiaceae,st. john's-wort family
Cnemidophorus arizonae,Arizona Striped Whiptail
Cnemidophorus burti stictogrammus,Giant Spotted Whiptail
Cnemidophorus burti xanthonotus,Red-backed Whiptail
Cnemidophorus exsanguis,Chihuahuan Spotted Whiptail
Cnemidophorus inornatus,Little Striped Whiptail
Cnemidophorus inornatus arizonae,Arizona Striped Whiptail
Cnemidophorus inornatus pai,Pai Striped Whiptail
Cnemidophorus neomexicanus,New Mexico Whiptail
Cnemidophorus sonorae,Sonoran Spotted Whiptail
Cnemidophorus tigris,Tiger Whiptail
Cnemidophorus uniparens,Desert Grassland Whiptail
Cnemidophorus velox,Plateau Striped Whiptail
Cnemidophorus xanthonotus,Red-backed Whiptail
Cnicus parryi,Parry Thistle
Cnodocentron,
Cnodocentron yavapai,A Caddisfly
Coccothraustes,
Coccothraustes vespertinus,Evening Grosbeak
Coccyzus,
Coccyzus americanus,Yellow-billed Cuckoo (Western DPS)
Coccyzus americanus occidentalis,Yellow-billed Cuckoo (Western DPS)
Coccyzus erythropthalmus,Black-billed Cuckoo
Cochiseia robbinsorum,Cochise Pincushion Cactus
Cochlicopa,
Cochlicopa lubrica,Glossy Pillar
Codatractus,
Codatractus arizonensis,Arizona Skipper
Codatractus valeriana,Valeriana Skipper
Coeloglossum,
Coeloglossum bracteatum,Frog Orchid
Coeloglossum viride,American Frog Orchid
Coeloglossum viride var. bracteatum,Frog Orchid
Coeloglossum viride var. virescens,Frog Orchid
Coenagrion,
Coenagrion resolutum,Taiga Bluet
Coenagrionidae,"Narrow-winged Damselflies, Pond Damsels<br>"
Coenonympha,
Coenonympha tullia,Common Ringlet
Coenonympha tullia furcae,Common Ringlet
Coenonympha tullia subfusca,Common Ringlet
Cogia,
Cogia caicus,Caicus Skipper
Cogia hippalus,Acacia Skipper
Colaptes,
Colaptes auratus,Northern Flicker
Colaptes chrysoides,Gilded Flicker
Coleonyx,
Coleonyx variegatus,Western Banded Gecko
Coleonyx variegatus bogerti,Western Banded Gecko
Coleonyx variegatus utahensis,Western Banded Gecko
Coleonyx variegatus variegatus,Desert Banded Gecko
Coleosanthus floribundus,Chihuahuan Brickellbush
Colias,
Colias alexandra,Queen Alexandra's Sulphur
Colias cesonia,Southern Dogface
Colias eurytheme,Alfalfa Sulphur
Colias philodice,Clouded Sulphur
Colinus,
Colinus virginianus,Northern Bobwhite
Colinus virginianus ridgwayi,Masked Bobwhite
Colpodium aquaticum,Water Whorlgrass
Coluber,
Coluber bilineatus,Sonoran Whipsnake
Coluber constrictor,Racer
Coluber constrictor flaviventris,Eastern Yellow-bellied Racer
Coluber constrictor mormon,Western Yellow-bellied Racer
Coluber flagellum,Coachwhip
Coluber flagellum cingulum,Sonoran Coachwhip
Coluber flagellum lineatulus,Lined Coachwhip
Coluber flagellum piceus,Red Racer
Coluber mormon,Western Yellow-bellied Racer
Coluber taeniatus,Striped Whipsnake
Colubridae,Colubrid Snakes
Colubrina,nakedwood
Colubrina californica,Las Animas Nakedwood
Columba,
Columba fasciata,Band-tailed Pigeon
Columba livia,Rock Pigeon
Columbidae,
Columbina,
Columbina inca,Inca Dove
Columbina passerina,Common Ground Dove
Columbina talpacoti,Ruddy Ground Dove
Columella,
Columella columella,Mellow Column
Conalcaea,
Conalcaea cantralli,A Grasshopper
Conalcaea huachucana,Huachuca Grasshopper
Condalia lycioides,Lotebush
Condalia lycioides var. canescens,Graythorn
Condalia obtusifolia,Lotebush
Condaliopsis lycioides,Lotebush
Condaliopsis lycioides var. canescens,Graythorn
Conepatus,
Conepatus leuconotus,Hog-nosed Skunk
Conepatus leuconotus leuconotus,Hog-nosed Skunk
Conioselinum,
Conioselinum mexicanum,Mexican Hemlock Parsley
Contopus,
Contopus cooperi,Olive-sided Flycatcher
Contopus pertinax,Greater Pewee
Contopus sordidulus,Western Wood-Pewee
Contopus virens,Eastern Wood-Pewee
Convolvulaceae,morning-glory family
Convolvulus,bindweed
Convolvulus arvensis,Field Bindweed
Conyza eriophylla,Woolly Fleabane
Copaeodes,
Copaeodes aurantiaca,Orange Skipperling
Copaeodes minima,Southern Skipperling
Copaeodes minimus,Southern Skipperling
Cophosaurus,
Cophosaurus texanus,Greater Earless Lizard
Cophosaurus texanus scitulus,Chihuahuan Greater Earless Lizard
Coragyps,
Coragyps atratus,Black Vulture
Corallorhiza,coralroot
Corallorhiza arizonica,Arizona Crested coral-root
Corallorhiza bigelovii,Striped Coralroot
Corallorhiza grabhamii,Spotted Coralroot
Corallorhiza macraei,Striped Coralroot
Corallorhiza maculata,Spotted Coralroot
Corallorhiza mexicana,Spotted Coralroot
Corallorhiza multiflora,Spotted Coralroot
Corallorhiza ochroleuca,Striped Coralroot
Corallorhiza odontorhiza,Spring Coralroot
Corallorhiza striata,Striped Coralroot
Corallorhiza striata var. vreelandii,Striped Coralroot
Corallorhiza unguiculata,Spring Coralroot
Corallorhiza vreelandii,Striped Coralroot
Corallorhiza wisteriana,Spring Coralroot
Corchorus,
Corchorus hirtus,Orinico Jute
Cordia,cordia
Cordia parvifolia,Little Leaf Cordia
Cordulegaster,
Cordulegaster diadema,Apache Spiketail
Cordulegaster dorsalis,Pacific Spiketail
Cordulegastridae,
Cordylanthus,bird's-beak
Cordylanthus maritimus,Saltmarsh Bird's-beak
Cordylanthus nevinii,Nevin Bird's-beak
Coreocarpus,
Coreocarpus arizonicus,Little Lemonhead
Coreopsis aurea,Arizona Beggarticks
Coreopsis ferulifolia,Arizona Beggarticks
Corvidae,
Corvus,
Corvus brachyrhynchos,American Crow
Corvus corax,Common Raven
Corvus cryptoleucus,Chihuahuan Raven
Corynorhinus,
Corynorhinus townsendii,Townsend's Big-eared Bat
Corynorhinus townsendii pallescens,Pale Townsend's Big-eared Bat
Coryphaeschna luteipennis,Malachite Darner
Coryphantha,beehive cactus
Coryphantha missouriensis,Missouri Corycactus
Coryphantha missouriensis var. marstonii,Missouri Corycactus
Coryphantha orcuttii,Orcutt's Foxtail Cactus
Coryphantha recurvata,Santa Cruz Beehive Cactus
Coryphantha robbinsiorum,Cochise Pincushion Cactus
Coryphantha robbinsorum,Cochise Pincushion Cactus
Coryphantha rosea,Viviparous Foxtail Cactus
Coryphantha scheeri,Scheer Cory Cactus
Coryphantha scheeri var. robustispina,Pima Pineapple Cactus
Coryphantha scheeri var. valida,Slender Needle Corycactus
Coryphantha sneedii,Orcutt's Foxtail Cactus
Coryphantha strobiliformis var. orcuttii,Orcutt's Foxtail Cactus
Coryphantha vivipara,Ball Prickly-pear
Coryphantha vivipara var. alversonii,Alverson's Pincushion Cactus
Coryphantha vivipara var. buoflama,Ball Prickly-pear
Coryphantha vivipara var. rosea,Viviparous Foxtail Cactus
Cottidae,sculpins
Cottus,
Cottus bairdii,Mottled Sculpin
Coursetia,
Coursetia glabella,Smooth Baby-bonnets
Cowania mexicana ssp. stansburyana,Stansbury's Cliffrose
Cowania mexicana var. stansburyana,Stansbury's Cliffrose
Cowania stansburiana,Stansbury's Cliffrose
